城市	抓取数量	domain	
博鳌	0	boao	
长春	0	cc	
抚顺	0	fushun	
黄山	0	huangshan	
杭州	0	hz	
江阴	0	jiangyin	
锦州	0	jinzhou	
开封	0	kaifeng	
洛阳	0	luoyang	
连云港	0	lyg	
澳门	0	macao	
南京	0	nj	
清远	0	qingyuan	
太原	0	shanxi	
铁岭	0	tieling	
乌鲁木齐	0	wlmq	
芜湖	0	wuhu	
无锡	0	wx	
咸阳	0	xianyang	
阳江	0	yangjiang	
肇庆	0	zhaoqing	
安庆	0	anqing	
安顺	0	anshun	
安阳	0	anyang	
白城	0	baicheng	
百色	0	baise	
白山	0	baishan	
蚌埠	0	bengbu	
宝鸡	0	baoji	
本溪	0	benxi	
毕节	0	bijie	
滨州	0	binzhou	
沧州	0	cangzhou	
昌吉	0	changji	
长治	0	changzhi	
朝阳	0	chaoyang	
潮州	0	chaozhou	
承德	0	chengde	
赤峰	0	chifeng	
滁州	0	chuzhou	
丹东	0	dandong	
大同	0	datong	
大兴安岭	0	dxal	
德州	0	dezhou	
鄂州	0	ezhou	
阜阳	0	fuyang	
抚州	0	fuzhou	
广元	0	guangyuan	
汉中	0	hanzhong	
漯河	0	luohe	
鹤壁	0	hebi	
鹤岗	0	hegang	
黑河	0	heihe	
衡水	0	hengshui	
河源	0	heyuan	
菏泽	0	heze	
淮安	0	huaian	
淮北	0	huaibei	
淮南	0	huainan	
黄冈	0	huanggang	
葫芦岛	0	hld	
湖州	0	huzhou	
佳木斯	0	jms	
焦作	0	jiaozuo	
嘉兴	0	jiaxing	
嘉峪关	0	jiayuguan	
揭阳	0	jieyang	
晋城	0	jincheng	
景德镇	0	jdz	
荆门	0	jingmen	
金华	0	jinhua	
济宁	0	jining	
金门	0	jinmen	
吉首	0	jishou	
鸡西	0	jixi	
济源	0	jiyuan	
凯里	0	kaili	
喀什	0	kashi	
莱芜	0	laiwu	
拉萨	0	lasa	
聊城	0	liaocheng	
辽阳	0	liaoyang	
辽源	0	liaoyuan	
临汾	0	linfen	
临沂	0	linyi	
六安	0	la	
六盘水	0	lps	
龙岩	0	longyan	
吕梁	0	lvliang	
茂名	0	maoming	
梅州	0	meizhou	
牡丹江	0	mdj	
南阳	0	nanyang	
内江	0	neijiang	
盘锦	0	panjin	
平顶山	0	pds	
莆田	0	putian	
齐齐哈尔	0	qqhe	
七台河	0	qth	
衢州	0	quzhou	
日照	0	rizhao	
三门峡	0	smx	
三明	0	sanming	
商丘	0	shangqiu	
上饶	0	shangrao	
汕尾	0	shanwei	
韶关	0	shaoguan	
邵阳	0	shaoyang	
十堰	0	shiyan	
双鸭山	0	sys	
朔州	0	shuozhou	
松原	0	songyuan	
绥化	0	suihua	
随州	0	suizhou	
宿迁	0	suqian	
太仓	0	taicang	
泰州	0	tz	
铜川	0	tongchuan	
通化	0	tonghua	
通辽	0	tongliao	
铜陵	0	tongling	
温州	0	wenzhou	
乌海	0	wuhai	
吴江	0	wujiang	
乌兰察布	0	wm	
梧州	0	wuzhou	
襄阳	0	xiangyang	
咸宁	0	xianning	
仙桃	0	xiantao	
孝感	0	xiaogan	
西昌	0	xichang	
邢台	0	xingtai	
兴义	0	xingyi	
新乡	0	xinxiang	
信阳	0	xinyang	
忻州	0	xinzhou	
宣城	0	xuancheng	
许昌	0	xuchang	
延安	0	yanan	
盐城	0	yancheng	
濮阳	0	puyang	
阳泉	0	yangquan	
扬州	0	yangzhou	
延吉	0	yanji	
伊春	0	yichun	
宜春	0	yc	
营口	0	yingkou	
鹰潭	0	yingtan	
玉林	0	yulin	
运城	0	yuncheng	
枣庄	0	zaozhuang	
张家港	0	zjg	
漳州	0	zhangzhou	
湛江	0	zhanjiang	
镇江	0	zhenjiang	
周口	0	zhoukou	
舟山	0	zhoushan	
驻马店	0	zmd	
遵义	0	zunyi	
马鞍山	12	mas	
吉安	25	ja	
遂宁	33	suining	
泰安	60	taian	
张家界	65	zjj	
常熟	67	changshu	
防城港	72	fcg	
自贡	73	zigong	
攀枝花	79	pzh	
钦州	90	qinzhou	
达州	91	dazhou	
黄石	97	huangshi	
荆州	118	jingzhou	
宜宾	118	yibin	
泸州	124	luzhou	
张家口	125	zjk	
眉山	132	meishan	
大庆	136	daqing	
鄂尔多斯	139	eeds	
益阳	148	yiyang	
西宁	150	xining	
厦门	155	xm	
江门	169	jiangmen	
怀化	176	hh	
兰州	183	lanzhou	
郴州	185	chenzhou	
岳阳	186	yueyang	
宜兴	190	yx	
宜昌	194	yichang	
绍兴	195	shaoxing	
北海	196	beihai	
九江	196	jiujiang	
德阳	197	deyang	
娄底	205	loudi	
赣州	209	ganzhou	
衡阳	219	hengyang	
株洲	222	zz	
南充	229	nanchong	
湘潭	231	xiangtan	
淄博	231	zb	
福州	235	fj	
汕头	237	shantou	
永州	251	yongzhou	
佛山	262	fs	
乐山	273	leshan	
东营	277	dy	
鞍山	296	anshan	
潍坊	298	weifang	
三亚	313	sanya	
珠海	314	zhuhai	
柳州	319	liuzhou	
包头	320	bt	
贵阳	322	guizhou	
银川	336	yinchuan	
威海	347	weihai	
广西	352	gx	
秦皇岛	368	qhd	
常德	376	changde	
昆山	394	ks	
中山	408	zhongshan	
保定	410	baoding	
惠州	424	huizhou	
桂林	428	guilin	
泉州	441	quanzhou	
烟台	448	yt	
南通	468	nt	
徐州	478	xz	
呼和浩特	501	hhht	
常州	530	cz	
南昌	571	nc	
苏州	587	suzhou	
唐山	618	tangshan	
台州	678	taizhou	
云南	691	yn	
哈尔滨	698	h	
济南	737	sd	
海南	883	han	
西安	887	sx	
宁波	905	nb	
石家庄	1025	sjz	
东莞	1147	dg	
大连	1264	dl	
长沙	1269	cs	
合肥	1289	hf	
郑州	1289	hn	
青岛	1445	qd	
沈阳	1723	sy	
武汉	1982	wh	
深圳	2259	sz	
天津	2315	tj	严重丢失
四川	2519	sc	
重庆	2945	cq	
广州	3268	gz	
北京	4955	bj	
上海	8953	sh	
			
			
			
			
			
			
			
			
			
			
			
			
	62852		
