城市,抓取数量,URL
au,0,newhouse.au.fang.com
puer,0,newhouse.puer.fang.com
guan,0,newhouse.guan.fang.com
ny,0,newhouse.ny.fang.com
la,0,newhouse.la.fang.com
sf,0,newhouse.sf.fang.com
tianjin,0,newhouse.tj.fang.com
chengde,0,newhouse.chengde.fang.com
shuozhou,0,newhouse.shuozhou.fang.com
tieling,0,newhouse.tieling.fang.com
baicheng,0,newhouse.baicheng.fang.com
hegang,0,newhouse.hegang.fang.com
shennongjia,0,newhouse.shennongjia.fang.com
tianmen,0,newhouse.tianmen.fang.com
fuzhou,0,newhouse.jxfuzhou.fang.com
shanwei,0,newhouse.shanwei.fang.com
liupanshui,0,newhouse.liupanshui.fang.com
pingliang,0,newhouse.pingliang.fang.com
jiuquan,0,newhouse.jiuquan.fang.com
longnan,0,newhouse.longnan.fang.com
guyuan,0,newhouse.guyuan.fang.com
kelamayi,0,newhouse.kelamayi.fang.com
xianggang,0,newhouse.www.hkproperty.com
taiwan,0,newhouse.www.twproperty.com.tw
xinjiapo,0,newhouse.www.sgproperty.com
wengehua,0,newhouse.vancouver.fang.com
yanjiao,0,newhouse.yanjiao.fang.com
haiwai,0,newhouse.world.fang.com
boston,0,newhouse.boston.fang.com
bulgaria,0,newhouse.bulgaria.fang.com
chicago,0,newhouse.chicago.fang.com
hebi,1,newhouse.hebi.fang.com
yangquan,1,newhouse.yangquan.fang.com
jinzhong,1,newhouse.jinzhong.fang.com
xinzhou,1,newhouse.xinzhou.fang.com
tonghua,1,newhouse.tonghua.fang.com
tongliao,1,newhouse.tl.fang.com
baishan,1,newhouse.baishan.fang.com
shuangyashan,1,newhouse.shuangyashan.fang.com
qitaihe,1,newhouse.qitaihe.fang.com
heihe,1,newhouse.heihe.fang.com
suihua,1,newhouse.suihua.fang.com
zhangjiagang,1,newhouse.zjg.fang.com
taizhou,1,newhouse.tz.fang.com
xiantao,1,newhouse.xiantao.fang.com
bozhou,1,newhouse.bozhou.fang.com
yingtan,1,newhouse.yingtan.fang.com
jingzhou,1,newhouse.jingzhou.fang.com
enshi,1,newhouse.enshi.fang.com
lijiang,1,newhouse.lijiang.fang.com
xishuangbanna,1,newhouse.xishuangbanna.fang.com
zhangye,1,newhouse.zhangye.fang.com
dingxi,1,newhouse.dingxi.fang.com
shizuishan,1,newhouse.shizuishan.fang.com
zhongwei,1,newhouse.zhongwei.fang.com
wanzhou,1,newhouse.wanzhou.fang.com
zhuozhou,1,newhouse.zhuozhou.fang.com
yaan,2,newhouse.yaan.fang.com
yuxi,2,newhouse.yuxi.fang.com
chaohu,2,newhouse.chaohu.fang.com
yongzhou,2,newhouse.yongzhou.fang.com
meizhou,2,newhouse.meizhou.fang.com
fangchenggang,2,newhouse.fangchenggang.fang.com
hechi,2,newhouse.hechi.fang.com
dazhou,2,newhouse.dazhou.fang.com
anshun,2,newhouse.anshun.fang.com
qiannan,2,newhouse.qiannan.fang.com
chuxiong,2,newhouse.chuxiong.fang.com
baiyin,2,newhouse.baiyin.fang.com
wuzhong,2,newhouse.wuzhong.fang.com
changzhi,3,newhouse.changzhi.fang.com
huainan,3,newhouse.huainan.fang.com
dehong,3,newhouse.dehong.fang.com
baoji,3,newhouse.baoji.fang.com
wuwei,3,newhouse.wuwei.fang.com
fuxin,4,newhouse.fuxin.fang.com
xinyu,4,newhouse.xinyu.fang.com
puyang,4,newhouse.puyang.fang.com
xuchang,4,newhouse.xuchang.fang.com
nanyang,4,newhouse.nanyang.fang.com
qujing,4,newhouse.qujing.fang.com
wenshan,4,newhouse.wenshan.fang.com
jiayuguan,4,newhouse.jiayuguan.fang.com
suizhou,5,newhouse.suizhou.fang.com
loudi,5,newhouse.loudi.fang.com
hezhou,5,newhouse.hezhou.fang.com
jinchang,5,newhouse.jinchang.fang.com
panjin,6,newhouse.panjin.fang.com
tongling,6,newhouse.tongling.fang.com
zhangjiajie,6,newhouse.zhangjiajie.fang.com
baise,6,newhouse.baise.fang.com
guangan,6,newhouse.guangan.fang.com
lincang,6,newhouse.lincang.fang.com
yulin,7,newhouse.yl.fang.com
jinzhou,7,newhouse.jinzhou.fang.com
siping,7,newhouse.siping.fang.com
liaoyuan,7,newhouse.liaoyuan.fang.com
pingtan,7,newhouse.pingtan.fang.com
fuyang,7,newhouse.fuyang.fang.com
xinyang,7,newhouse.xinyang.fang.com
huaihua,7,newhouse.huaihua.fang.com
ankang,7,newhouse.ankang.fang.com
rizhao,8,newhouse.rz.fang.com
bazhong,8,newhouse.bazhong.fang.com
hanzhong,8,newhouse.hanzhong.fang.com
xianghe,8,newhouse.xianghe.fang.com
jixi,9,newhouse.jixi.fang.com
changshu,9,newhouse.changshu.fang.com
ningde,9,newhouse.ningde.fang.com
zhaoqing,9,newhouse.zhaoqing.fang.com
jian,10,newhouse.jian.fang.com
lishui,10,newhouse.ls.fang.com
qj,10,newhouse.qj.fang.com
jincheng,10,newhouse.jc.fang.com
datong,10,newhouse.datong.fang.com
lvliang,10,newhouse.lvliang.fang.com
songyuan,10,newhouse.songyuan.fang.com
yanbian,10,newhouse.yanbian.fang.com
jiamusi,10,newhouse.jiamusi.fang.com
kashi,10,newhouse.kashi.fang.com
akesu,10,newhouse.akesu.fang.com
qianjiang,10,newhouse.qianjiang.fang.com
sanming,10,newhouse.sanming.fang.com
nanping,10,newhouse.nanping.fang.com
longyan,10,newhouse.longyan.fang.com
shangrao,10,newhouse.shangrao.fang.com
taian,10,newhouse.taian.fang.com
laiwu,10,newhouse.laiwu.fang.com
pingdingshan,10,newhouse.pingdingshan.fang.com
zhoukou,10,newhouse.zhoukou.fang.com
zhumadian,10,newhouse.zhumadian.fang.com
huangshi,10,newhouse.huangshi.fang.com
ezhou,10,newhouse.ezhou.fang.com
huanggang,10,newhouse.huanggang.fang.com
xiangxi,10,newhouse.xiangxi.fang.com
shunde,10,newhouse.shunde.fang.com
yunfu,10,newhouse.yunfu.fang.com
wuzhou,10,newhouse.wuzhou.fang.com
qinzhou,10,newhouse.qinzhou.fang.com
guigang,10,newhouse.guigang.fang.com
laibin,10,newhouse.laibin.fang.com
chongzuo,10,newhouse.chongzuo.fang.com
zigong,10,newhouse.zigong.fang.com
panzhihua,10,newhouse.panzhihua.fang.com
guangyuan,10,newhouse.guangyuan.fang.com
suining,10,newhouse.suining.fang.com
meishan,10,newhouse.meishan.fang.com
ziyang,10,newhouse.ziyang.fang.com
liangshan,10,newhouse.liangshan.fang.com
tongren,10,newhouse.tongren.fang.com
qiandongnan,10,newhouse.qiandongnan.fang.com
baoshan,10,newhouse.baoshan.fang.com
zhaotong,10,newhouse.zhaotong.fang.com
honghe,10,newhouse.honghe.fang.com
tongchuan,10,newhouse.tongchuan.fang.com
yanan,10,newhouse.yanan.fang.com
sxyulin,10,newhouse.sxyulin.fang.com
shangluo,10,newhouse.shangluo.fang.com
tianshui,10,newhouse.tianshui.fang.com
qingyang,10,newhouse.qingyang.fang.com
deqing,10,newhouse.deqing.fang.com
dezhou,11,newhouse.dz.fang.com
heze,11,newhouse.heze.fang.com
yuncheng,11,newhouse.yuncheng.fang.com
zunyi,11,newhouse.zunyi.fang.com
qijiang,11,newhouse.qijiang.fang.com
haining,11,newhouse.haining.fang.com
qiqihaer,12,newhouse.qiqihaer.fang.com
jinhua,13,newhouse.jh.fang.com
qingyuan,13,newhouse.qingyuan.fang.com
nanchong,13,newhouse.nanchong.fang.com
pingxiang,14,newhouse.pingxiang.fang.com
kaifeng,15,newhouse.kaifeng.fang.com
chuzhou,16,newhouse.chuzhou.fang.com
neijiang,16,newhouse.neijiang.fang.com
suzhou,17,newhouse.ahsuzhou.fang.com
jingdezhen,17,newhouse.jingdezhen.fang.com
hechuan,17,newhouse.hechuan.fang.com
xuancheng,18,newhouse.xuancheng.fang.com
fuling,18,newhouse.fuling.fang.com
foshan,19,newhouse.fs.fang.com
zhangjiakou,19,newhouse.zhangjiakou.fang.com
linfen,19,newhouse.linfen.fang.com
zhangzhou,19,newhouse.zhangzhou.fang.com
dali,20,newhouse.dali.fang.com
yingkou,20,newhouse.yk.fang.com
bengbu,20,newhouse.bengbu.fang.com
chizhou,20,newhouse.chizhou.fang.com
xiangyang,20,newhouse.xiangyang.fang.com
shaoyang,20,newhouse.shaoyang.fang.com
yueyang,20,newhouse.yueyang.fang.com
yiyang,20,newhouse.yiyang.fang.com
zhanjiang,20,newhouse.zj.fang.com
guilin,20,newhouse.guilin.fang.com
yinchuan,20,newhouse.yinchuan.fang.com
nanning,21,newhouse.nn.fang.com
wuhu,21,newhouse.wuhu.fang.com
jilin,21,newhouse.jl.fang.com
zhenjiang,21,newhouse.zhenjiang.fang.com
yancheng,21,newhouse.yancheng.fang.com
jiaxing,21,newhouse.jx.fang.com
wenzhou,21,newhouse.wz.fang.com
ganzhou,21,newhouse.ganzhou.fang.com
jining,21,newhouse.jining.fang.com
binzhou,21,newhouse.binzhou.fang.com
hengyang,21,newhouse.hengyang.fang.com
shaoguan,21,newhouse.shaoguan.fang.com
maoming,21,newhouse.maoming.fang.com
jieyang,21,newhouse.jieyang.fang.com
mianyang,21,newhouse.mianyang.fang.com
yibin,21,newhouse.yibin.fang.com
qianxinan,21,newhouse.qianxinan.fang.com
sanya,21,newhouse.sanya.fang.com
xianyang,21,newhouse.xianyang.fang.com
zhoushan,22,newhouse.zhoushan.fang.com
anyang,22,newhouse.anyang.fang.com
guangzhou,22,newhouse.gz.fang.com
liuzhou,22,newhouse.liuzhou.fang.com
leshan,22,newhouse.leshan.fang.com
hefei,23,newhouse.hf.fang.com
byne,23,newhouse.byne.fang.com
chenzhou,23,newhouse.chenzhou.fang.com
macau,24,newhouse.macau.fang.com
benxi,25,newhouse.benxi.fang.com
chaozhou,25,newhouse.chaozhou.fang.com
huludao,26,newhouse.huludao.fang.com
luohe,26,newhouse.luohe.fang.com
huaibei,27,newhouse.huaibei.fang.com
wuhan,28,newhouse.wuhan.fang.com
liaoyang,29,newhouse.liaoyang.fang.com
anqing,29,newhouse.anqing.fang.com
yongchuan,29,newhouse.yongchuan.fang.com
jinan,30,newhouse.jn.fang.com
lanzhou,30,newhouse.lz.fang.com
xingtai,30,newhouse.xingtai.fang.com
eerduosi,30,newhouse.erds.fang.com
nantong,30,newhouse.nt.fang.com
huzhou,30,newhouse.huzhou.fang.com
zhengzhou,30,newhouse.zz.fang.com
xiangtan,30,newhouse.xt.fang.com
zhongshan,30,newhouse.zs.fang.com
yangjiang,30,newhouse.yangjiang.fang.com
bijie,30,newhouse.bijie.fang.com
huhehaote,31,newhouse.nm.fang.com
nanchang,31,newhouse.nc.fang.com
jingmen,31,newhouse.jingmen.fang.com
quzhou,32,newhouse.quzhou.fang.com
luzhou,32,newhouse.luzhou.fang.com
gaomi,33,newhouse.gaomi.fang.com
weinan,33,newhouse.weinan.fang.com
dongying,34,newhouse.dy.fang.com
yichun,36,newhouse.yichun.fang.com
deyang,36,newhouse.deyang.fang.com
chengdu,37,newhouse.cd.fang.com
putian,37,newhouse.putian.fang.com
taicang,38,newhouse.tc.fang.com
sanmenxia,38,newhouse.sanmenxia.fang.com
zhuhai,40,newhouse.zh.fang.com
kunming,40,newhouse.km.fang.com
langfang,40,newhouse.lf.fang.com
baotou,40,newhouse.bt.fang.com
anshan,40,newhouse.anshan.fang.com
daqing,40,newhouse.daqing.fang.com
huaian,40,newhouse.huaian.fang.com
quanzhou,40,newhouse.qz.fang.com
liaocheng,40,newhouse.lc.fang.com
zaozhuang,40,newhouse.zaozhuang.fang.com
shiyan,44,newhouse.shiyan.fang.com
shantou,49,newhouse.st.fang.com
huangshan,49,newhouse.huangshan.fang.com
yichang,50,newhouse.yc.fang.com
luan,50,newhouse.luan.fang.com
zibo,50,newhouse.zb.fang.com
dandong,50,newhouse.dandong.fang.com
wuxi,50,newhouse.wuxi.fang.com
yangzhou,50,newhouse.yz.fang.com
weihai,50,newhouse.weihai.fang.com
shangqiu,50,newhouse.shangqiu.fang.com
xianning,50,newhouse.xianning.fang.com
shenzhen,50,newhouse.sz.fang.com
heyuan,51,newhouse.heyuan.fang.com
mudanjiang,52,newhouse.mudanjiang.fang.com
jiangyin,52,newhouse.jy.fang.com
jiaozuo,56,newhouse.jiaozuo.fang.com
xiamen,57,newhouse.xm.fang.com
xiaogan,60,newhouse.xiaogan.fang.com
dongguan,60,newhouse.dg.fang.com
jiangmen,63,newhouse.jm.fang.com
xining,65,newhouse.xn.fang.com
chaoyang,68,newhouse.chaoyang.fang.com
jiujiang,70,newhouse.jiujiang.fang.com
zhuzhou,70,newhouse.zhuzhou.fang.com
cangzhou,79,newhouse.cangzhou.fang.com
yantai,80,newhouse.yt.fang.com
qinhuagndao,80,newhouse.qhd.fang.com
hengshui,80,newhouse.hs.fang.com
suqian,80,newhouse.sq.fang.com
xuzhou,80,newhouse.xz.fang.com
changde,80,newhouse.changde.fang.com
huizhou,80,newhouse.huizhou.fang.com
lianyungang,87,newhouse.lyg.fang.com
fushun,89,newhouse.fushun.fang.com
beihai,90,newhouse.bh.fang.com
xian,90,newhouse.xian.fang.com
luoyang,90,newhouse.ly.fang.com
maanshan,91,newhouse.mas.fang.com
haikou,98,newhouse.hn.fang.com
shaoxing,100,newhouse.sx.fang.com
guiyang,104,newhouse.gy.fang.com
wulumuqi,105,newhouse.xj.fang.com
handan,110,newhouse.hd.fang.com
kunshan,110,newhouse.ks.fang.com
changzhou,110,newhouse.cz.fang.com
baoding,130,newhouse.bd.fang.com
xinxiang,145,newhouse.xx.fang.com
hangzhou,160,newhouse.hz.fang.com
ningbo,170,newhouse.nb.fang.com
qingdao,178,newhouse.qd.fang.com
taiyuan,181,newhouse.taiyuan.fang.com
tangshan,193,newhouse.ts.fang.com
haerbin,201,newhouse.hrb.fang.com
nanjing,210,newhouse.nanjing.fang.com
linyi,247,newhouse.linyi.fang.com
shijiazhuang,255,newhouse.sjz.fang.com
beijing,257,newhouse.bj.fang.com
dalian,257,newhouse.dl.fang.com
changchun,258,newhouse.changchun.fang.com
weifang,285,newhouse.wf.fang.com
shanghai,287,newhouse.sh.fang.com
changsha,415,newhouse.cs.fang.com
chognqing,499,newhouse.cq.fang.com
shenyang,530,newhouse.sy.fang.com
,,
,,
,,
,,
,,
,,
,,
Total,11549,
